--***************************************************************************
--*                                                                         *
--*                         Copyright (C) 1987-1995                         *
--*                              by OrCAD, INC.                             *
--*                                                                         *
--*                           All rights reserved.                          *
--*                                                                         *
--***************************************************************************
   
-- Purpose:	  OrCAD VHDL Model Index
-- Version:       v6.0
-- File:	  ALS.LST
-- Resource:	  National Semiconductor, ALS/AS Logic Databook, 1987
-- Key:		  ":part_value   capture_olb  pin_count"

:74ALS00                        TTL     14
:74ALS01                        TTL     14
:74ALS02                        TTL     14
:74ALS03                        TTL     14
:74ALS04                        TTL     14
:74ALS05                        TTL     14
:74ALS08                        TTL     14
:74ALS09                        TTL     14
:74ALS10                        TTL     14
:74ALS10A          TTL  14
:74ALS11                        TTL     14
:74ALS11A          TTL  14
:74ALS12                        TTL     14
:74ALS12A          TTL  14
:74ALS15                        TTL     14
:74ALS15A          TTL  14
:74ALS20                        TTL     14
:74ALS20A          TTL  14
:74ALS21                        TTL     14
:74ALS21A          TTL  14
:74ALS22                        TTL     14
:74ALS22B          TTL  14
:74ALS27                        TTL     14
:74ALS28                        TTL     14
:74ALS28A          TTL  14
:74ALS30                        TTL     14
:74ALS30A          TTL  14
:74ALS32                        TTL     14
:74ALS33                        TTL     14
:74ALS33A          TTL  14
:74ALS34   TTL  14
:74ALS35   TTL  14
:74ALS35A          TTL  14
:74ALS37                        TTL     14
:74ALS37A          TTL  14
:74ALS38                        TTL     14
:74ALS38A          TTL  14
:74ALS40                        TTL     14
:74ALS40A          TTL  14
:74ALS74                        TTL     14
:74ALS74A          TTL  14
:74ALS86                        TTL     14
:74ALS109               TTL     16
:74ALS109A         TTL  16
:74ALS112               TTL     16
:74ALS112A         TTL  16
:74ALS113               TTL     14
:74ALS113A         TTL  14
:74ALS114               TTL     14
:74ALS114A         TTL  14
:74ALS131   TTL  16
:74ALS133               TTL     16
:74ALS136               TTL     14
:74ALS137   TTL  16
:74ALS138                       TTL     16
:74ALS139                       TTL     16
:74ALS151                       TTL     16
:74ALS153   TTL  16
:74ALS156   TTL  16
:74ALS157                       TTL     16
:74ALS158                       TTL     16
:74ALS160  TTL  16
:74ALS160B         TTL  16
:74ALS161  TTL  16
:74ALS161B         TTL  16
:74ALS162  TTL  16
:74ALS162B         TTL  16
:74ALS163  TTL  16
:74ALS163B         TTL  16
:74ALS168   TTL  16
:74ALS168B         TTL  16
:74ALS169  TTL  16
:74ALS169B         TTL  16
:74ALS174               TTL     16
:74ALS175               TTL     16
:74ALS190   TTL  16
:74ALS191   TTL  16
:74ALS192   TTL  16
:74ALS193   TTL  16
:74ALS240                       TTL     20
:74ALS240A         TTL  20
:74ALS241                       TTL     20
:74ALS241A         TTL  20
:74ALS242                       TTL     14
:74ALS242B         TTL  14
:74ALS243                       TTL     14
:74ALS243A         TTL  14
:74ALS244                       TTL     20
:74ALS244A         TTL  20
:74ALS245                       TTL             20
:74ALS245A         TTL  20
:74ALS251                       TTL     16
:74ALS253                       TTL     16
:74ALS257                       TTL     16
:74ALS258                       TTL     16
:74ALS259   TTL  16
:74ALS273               TTL     20
:74ALS280  TTL  14
:74ALS299 TTL 20
:74ALS323 TTL 20
:74ALS352   TTL  16
:74ALS353   TTL  16
:74ALS373   TTL  20
:74ALS374                       TTL     20
:74ALS465                       TTL     20
:74ALS465A         TTL  20
:74ALS466                       TTL     20
:74ALS466A         TTL  20
:74ALS467                       TTL     20
:74ALS467A         TTL  20
:74ALS468                       TTL     20
:74ALS468A         TTL  20
:74ALS518                       TTL     20
:74ALS519                       TTL     20
:74ALS520                       TTL     20
:74ALS521                       TTL     20
:74ALS522                       TTL     20
:74ALS533   TTL  20
:74ALS534                       TTL     20
:74ALS540   TTL  20
:74ALS541   TTL  20
:74ALS560   TTL  20
:74ALS560A         TTL  20
:74ALS561   TTL  20
:74ALS561A   TTL  20
:74ALS563         TTL  20
:74ALS563A         TTL  20
:74ALS564                       TTL     20
:74ALS564A         TTL  20
:74ALS568   TTL  20
:74ALS568A         TTL  20
:74ALS569   TTL  20
:74ALS569A         TTL  20
:74ALS569         TTL  20
:74ALS569A         TTL  20
:74ALS574                       TTL     20
:74ALS574A         TTL  20
:74ALS575                       TTL     24
:74ALS575A         TTL  24
:74ALS576                       TTL     20
:74ALS576A         TTL  20
:74ALS577                       TTL     24
:74ALS577A         TTL  24
:74ALS580   TTL  20
:74ALS580A         TTL  20
:74ALS620                       TTL     20
:74ALS620A         TTL  20
:74ALS621                       TTL     20
:74ALS621A         TTL  20
:74ALS622                       TTL     20
:74ALS622A         TTL  20
:74ALS623                       TTL     20
:74ALS623A         TTL  20
:74ALS638                       TTL     20
:74ALS638A         TTL  20
:74ALS639                       TTL     20
:74ALS639A         TTL  20
