--***************************************************************************
--*                                                                         *
--*                         Copyright (C) 1987-1995                         *
--*                              by OrCAD, INC.                             *
--*                                                                         *
--*                           All rights reserved.                          *
--*                                                                         *
--***************************************************************************
   
-- Purpose:	  OrCAD VHDL Model Index
-- Version:       v6.0
-- File:	  HC.LST
-- Resource:        National, 1984 Logic Databook
-- Key:		  ":part_value   capture_olb  pin_count"


:74HC00  TTL  14
:74HC00A  TTL  14
:74HC02  TTL  14
:74HC02A  TTL  14
:74HC03  TTL  14
:74HC03A  TTL  14
:74HC04  TTL  14
:74HC04A  TTL  14
:74HC05  TTL  14
:74HC08  TTL  14
:74HC09  TTL  14
:74HC10  TTL  14
:74HC11  TTL  14
:74HC14  TTL  14
:74HC14A  TTL  14
:74HC20  TTL  14
:74HC21  TTL  14
:74HC27  TTL  14
:74HC30  TTL  14
:74HC32  TTL  14
:74HC32A  TTL  14
:74HC36  TTL  14
:74HC42  TTL  16
:74HC51  TTL  14
:74HC73  TTL  14
:74HC74  TTL  14
:74HC75  TTL  16
:74HC76  TTL  16
:74HC77  TTL  14
:74HC78  TTL  14
:74HC85  TTL  16
:74HC86  TTL  14
:74HC107  TTL  14
:74HC109  TTL  16
:74HC109A  TTL  16
:74HC112  TTL  16
:74HC113  TTL  14
:74HC114  TTL  14
:74HC125  TTL  14
:74HC125A  TTL  14
:74HC126  TTL  14
:74HC126A  TTL  14
:74HC132  TTL  14
:74HC132A  TTL  14
:74HC133  TTL  16
:74HC137  TTL  16
:74HC138  TTL  16
:74HC138A  TTL  16
:74HC139  TTL  16
:74HC139A  TTL  16
:74HC147  TTL  16
:74HC148  TTL  16
:74HC151  TTL  16
:74HC152  TTL  14
:74HC153  TTL  16
:74HC154  TTL  24
:74HC157  TTL  16
:74HC157A  TTL  16
:74HC158  TTL  16
:74HC158A  TTL  16
:74HC160  TTL  16
:74HC161  TTL  16
:74HC162  TTL  16
:74HC163  TTL  16
:74HC164  TTL  14
:74HC165  TTL  16
:74HC166  TTL  16
:74HC173  TTL  16
:74HC174  TTL  16
:74HC175  TTL  16
:74HC180  TTL  14
:74HC181  TTL  24
:74HC182  TTL  16
:74HC190  TTL  16
:74HC191  TTL  16
:74HC192  TTL  16
:74HC193  TTL  16
:74HC194  TTL  16
:74HC195  TTL  16
:74HC240  TTL  20
:74HC240A  TTL  20
:74HC241  TTL  20
:74HC242  TTL  14
:74HC243  TTL  14
:74HC244  TTL  20
:74HC244A  TTL  20
:74HC245  TTL  20
:74HC245A  TTL  20
:74HC251  TTL  16
:74HC253  TTL  16
:74HC253B  TTL  16
:74HC257  TTL  16
:74HC258  TTL  16
:74HC259  TTL  16
:74HC266  TTL  14
:74HC266A  TTL  14
:74HC273  TTL  20
:74HC280  TTL  14
:74HC283  TTL  16
:74HC298  TTL  16
:74HC299  TTL  20
:74HC352  TTL  16
:74HC353  TTL  16
:74HC354  TTL  20
:74HC356  TTL  20
:74HC365  TTL  16
:74HC366  TTL  16
:74HC367  TTL  16
:74HC368  TTL  16
:74HC373  TTL  20
:74HC374  TTL  20
:74HC375  TTL  16
:74HC377  TTL  20
:74HC378  TTL  16
:74HC379  TTL  16
:74HC390  TTL  16
:74HC393  TTL  14
:74HC490  TTL  16
:74HC521  TTL  20
:74HC533  TTL  20
:74HC534  TTL  20
:74HC540  TTL  20
:74HC541  TTL  20
:74HC563  TTL  20
:74HC564  TTL  20
:74HC573  TTL  20
:74HC574  TTL  20
:74HC590  TTL  16
:74HC590A  TTL  16
:74HC595  TTL  16
:74HC595A  TTL  16
:74HC597  TTL  16
:74HC604  TTL  28
:74HC620  TTL  20
:74HC623  TTL  20
:74HC640  TTL  20
:74HC640A  TTL  20
:74HC643  TTL  20
:74HC645  TTL  20
:74HC646  TTL  24
:74HC648  TTL  24
:74HC651  TTL  24
:74HC652  TTL  24
:74HC677  TTL  24
:74HC678  TTL  24
:74HC679  TTL  20
:74HC680  TTL  20
:74HC682  TTL  20
:74HC684  TTL  20
:74HC688  TTL  20
:74HC804  TTL  20
:74HC805  TTL  20
:74HC808  TTL  20
:74HC832  TTL  20
:74HC4078A  TTL  14

<eof>
