--***************************************************************************
--*                                                                         *
--*                         Copyright (C) 1987-1995                         *
--*                              by OrCAD, INC.                             *
--*                                                                         *
--*                           All rights reserved.                          *
--*                                                                         *
--***************************************************************************
   
-- Purpose:	  OrCAD VHDL Model Index
-- Version:       v6.0
-- File:	  LS.LST
-- Resource:	  1984 National Logic Data book.
-- Key:		  ":part_value   capture_olb  pin_count"

:74LS00                 TTL     14
:74LS01                 TTL     14
:74LS02                 TTL     14
:74LS03                 TTL     14
:74LS04                 TTL     14
:74LS05                 TTL     14
:74LS08                 TTL     14
:74LS09                 TTL     14
:74LS10                 TTL     14
:74LS11                 TTL     14
:74LS12                 TTL     14
:74LS13                 TTL     14
:74LS14                 TTL     14
:74LS15                 TTL     14
:74LS18                 TTL     14
:74LS19                 TTL     14
:74LS19A                TTL     14
:74LS20                 TTL     14
:74LS21                 TTL     14
:74LS22                 TTL     14
:74LS24                 TTL     14
:74LS26                 TTL     14
:74LS27                 TTL     14
:74LS28                 TTL     14
:74LS30                 TTL     14
:74LS32                 TTL     14
:74LS33                 TTL     14
:74LS37                 TTL     14
:74LS38                 TTL     14
:74LS40                 TTL     14
:74LS42                 TTL     16
:74LS47   TTL  16
:74LS48   TTL  16
:74LS49   TTL  14
:74LS51                 TTL     14
:74LS54                 TTL     14
:74LS55                 TTL     14
:74LS68   TTL  16
:74LS69   TTL  16
:74LS73                 TTL     14
:74LS73A                TTL     14
:74LS74                 TTL     14
:74LS74A                TTL     14
:74LS75   TTL  16
:74LS76                 TTL     16
:74LS76A                TTL     16
:74LS77   TTL  14
:74LS78  TTL  14
:74LS78A                TTL     14
:74LS83   TTL  16
:74LS83A                TTL     16
:74LS85   TTL  16
:74LS85A                TTL     16
:74LS86                 TTL     14
:74LS86A                TTL     14
:74LS90   TTL  14
:74LS91   TTL  14
:74LS92   TTL  14
:74LS93   TTL  14
:74LS95   TTL  14
:74LS95B                TTL     14
:74LS96   TTL  16
:74LS107                TTL     14
:74LS107A               TTL     14
:74LS109                TTL     16
:74LS109A               TTL     16
:74LS112                TTL     16
:74LS112A               TTL     16
:74LS113                TTL     14
:74LS113A               TTL     14
:74LS114                TTL     14
:74LS114A               TTL     14
:74LS125   TTL  14
:74LS125A               TTL     14
:74LS126   TTL  14
:74LS126A               TTL     14
:74LS132                TTL     14
:74LS136                TTL     14
:74LS137   TTL  16
:74LS138                        TTL     16
:74LS139                        TTL     16
:74LS139A               TTL     16
:74LS145                        TTL     16
:74LS147   TTL  16
:74LS148   TTL  16
:74LS151                        TTL     16
:74LS152                        TTL     14
:74LS153   TTL  16
:74LS154   TTL  24
:74LS155   TTL  16
:74LS155A               TTL     16
:74LS156   TTL  16
:74LS156A               TTL     16
:74LS157                        TTL     16
:74LS158                        TTL     16
:74LS160  TTL  16
:74LS160A               TTL     16
:74LS161  TTL  16
:74LS161A               TTL     16
:74LS162  TTL  16
:74LS162A               TTL     16
:74LS163  TTL  16
:74LS163A               TTL     16
:74LS164   TTL  14
:74LS165   TTL  16
:74LS165A               TTL     16
:74LS166   TTL  16
:74LS166A               TTL     16
:74LS168   TTL  16
:74LS169  TTL  16
:74LS169B               TTL     16
:74LS171   TTL  16
:74LS173   TTL  16
:74LS173A               TTL     16
:74LS174                TTL     16
:74LS175                TTL     16
:74LS181   TTL  24
:74LS183   TTL  14
:74LS190   TTL  16
:74LS191   TTL  16
:74LS192   TTL  16
:74LS193   TTL  16
:74LS194 TTL 16
:74LS194A               TTL     16
:74LS195 TTL 16
:74LS195A               TTL     16
:74LS196   TTL  14
:74LS197   TTL  14
:74LS240                        TTL     20
:74LS241                        TTL     20
:74LS242                        TTL     14
:74LS243                        TTL     14
:74LS244                        TTL     20
:74LS245                        TTL             20
:74LS247   TTL  16
:74LS248   TTL  16
:74LS249   TTL  16
:74LS251                        TTL     16
:74LS253                        TTL     16
:74LS257                        TTL     16
:74LS257A               TTL     16
:74LS258                        TTL     16
:74LS258A               TTL     16
:74LS258B               TTL     16
:74LS259   TTL  16
:74LS259B               TTL     16
:74LS261   TTL  16
:74LS266   TTL  14
:74LS273                TTL     20
:74LS279   TTL  16
:74LS279A               TTL     16
:74LS280  TTL  14
:74LS283   TTL  16
:74LS290   TTL  14
:74LS293  TTL  14
:74LS295   TTL  14
:74LS295B               TTL     14
:74LS298   TTL  16
:74LS299 TTL 20
:74LS322   TTL  20
:74LS322A               TTL     20
:74LS323 TTL 20
:74LS348   TTL  16
:74LS352   TTL  16
:74LS353   TTL  16
:74LS354   TTL  20
:74LS355   TTL  20
:74LS356   TTL  20
:74LS357   TTL  20
:74LS365   TTL  16
:74LS365A               TTL     16
:74LS366   TTL  16
:74LS366A               TTL     16
:74LS367   TTL  16
