--***************************************************************************
--*                                                                         *
--*                         Copyright (C) 1987-1995                         *
--*                              by OrCAD, INC.                             *
--*                                                                         *
--*                           All rights reserved.                          *
--*                                                                         *
--***************************************************************************
   
-- Purpose:	  OrCAD VHDL Model Index
-- Version:       v6.0
-- File:	  TTL.LST
-- Resource:	  National, Logic Data Book, 1984
-- Key:		  ":part_value   capture_olb  pin_count"

:7400                   TTL     14
:7401                   TTL     14
:7402                   TTL     14
:7403                   TTL     14
:7404                   TTL     14
:7405                   TTL     14
:7406                   TTL     14
:7407   TTL  14
:7408                   TTL     14
:7409                   TTL     14
:7410                   TTL     14
:7411                   TTL     14
:7412                   TTL     14
:7413                   TTL     14
:7414                   TTL     14
:7416                   TTL     14
:7417                   TTL     14
:7420                   TTL     14
:7421   TTL  14
:7422                   TTL     14
:7425                   TTL     14
:7426                   TTL     14
:7427                   TTL     14
:7428                   TTL     14
:7430                   TTL     14
:7432                   TTL     14
:7433                   TTL     14
:7437                   TTL     14
:7438                   TTL     14
:7439   TTL  14
:7440                   TTL     14
:7442                   TTL     16
:7442A                  TTL     16
:7443                   TTL     16
:7444                   TTL     16
:7445                   TTL     16
:7446   TTL  16
:7446A   TTL  16
:7447   TTL  16
:7447A   TTL  16
:7448   TTL  16
:7449   TTL  14
:7451                   TTL     14
:7454                   TTL     14
:7470                   TTL     14
:7473                   TTL     14
:7474                   TTL     14
:7475   TTL  16
:7477   TTL  14
:7482   TTL  14
:7483   TTL  16
:7483A   TTL  16
:7485   TTL  16
:7486                   TTL     14
:7490   TTL  14
:7490A   TTL  14
:7491   TTL  14
:7491A   TTL  14
:7492   TTL  14
:7492A   TTL  14
:7493   TTL  14
:7493A   TTL  14
:7494   TTL  16
:7495   TTL  14
:7495A   TTL  14
:7496   TTL  16
:74100   TTL  24
:74104   TTL  14
:74105   TTL  14
:74107                  TTL     14
:74109                  TTL     16
:74116   TTL  24
:74125   TTL  14
:74126   TTL  14
:74128   TTL  14
:74132                  TTL     14
:74136                  TTL     14
:74145                  TTL     16
:74147   TTL  16
:74148   TTL  16
:74150   TTL  24
:74151                          TTL     16
:74151A     TTL  16
:74152                  TTL     14
:74153   TTL  16
:74154   TTL  24
:74155   TTL  16
:74156   TTL  16
:74157                  TTL     16
:74159   TTL  24
:74164   TTL  14
:74165   TTL  16
:74166   TTL  16
:74167   TTL  16
:74173   TTL  16
:74174                  TTL     16
:74175                  TTL     16
:74176   TTL  14
:74177   TTL  14
:74178   TTL  14
:74179   TTL  16
:74180   TTL  14
:74181   TTL  24
:74182   TTL  16
:74190   TTL  16
:74191   TTL  16
:74192   TTL  16
:74193   TTL  16
:74194 TTL 16
:74195 TTL 16
:74196   TTL  14
:74197   TTL  14
:74198   TTL  24
:74199   TTL  24
:74246   TTL  16
:74247   TTL  16
:74248   TTL  16
:74249   TTL  16
:74251                  TTL     16
:74253                  TTL     16
:74259   TTL  16
:74273                  TTL     20
:74276   TTL  20
:74278   TTL  14
:74279   TTL  16
:74283   TTL  16
:74290   TTL  14
:74293  TTL  14
:74298   TTL  16
:74365   TTL  16
:74365A   TTL  16
:74366   TTL  16
:74366A   TTL  16
:74367   TTL  16
:74367A   TTL  16
:74368   TTL  16
:74368A   TTL  16
:74376   TTL  16
:74390   TTL  16
:74393   TTL  14
:74425   TTL  14
:74426   TTL  14
:74490   TTL  16
